id,gender,self_intro
300,1,gorgeous
301,1,Supercold
302,2,Cool
303,2,Haha
304,2,Haha
305,2,I'm not eighty seven.
306,1,Handsome
307,1,878787
308,2,good
309,1,Handsome
310,1,I don't know and I don't care.
311,1,Stay hungry stay foolish
312,1,I have superpower!
313,1,Cool
314,1,I’m a good man
315,1,Often enjoy daily life.
316,1,Good
317,1,GGGGGGG
318,1,I'm a Jedi
319,1,I am handsome
320,1,I’m a sexy guy.
321,1,a normal man
322,2,YOLO
323,1,Good
324,1,I am who am I
325,1,Nice person
326,2,Intelligence
327,1,I am fine
328,1,Handsome
329,1,A handsome boy
330,1,handsome
331,2,Excellent
332,1,Good
333,1,I'm a foolish.
334,1,Cool
335,1,handsome zhou
336,1,Samrt
337,1,I'm handsome
338,1,Handsome
339,1,humble
340,1,A student
341,1,I am good boy
342,1,smart and weird
343,1,Genius
344,1,Quietly brilliant
345,1,Good
346,1,Ordinary human.
347,1,Intelligent
348,1,Happy
349,1,I’m happy.
350,1,好
351,2,I'm a nice person.
352,1,One is never too old to learn
353,1,good
354,1,Tall
355,2,I am happy and pretty girl.
356,1,Intelligent!
357,1,BigHotGG
358,2,A commen person.
359,1,I'm a nice people.
360,1,Deep
361,1,Tired
362,1,nice
363,2,my name is Ellen.
364,2,I wish I could be smarter.
365,1,I'm adaptive and hardworking.
366,2,Finding myself.
367,1,cute
368,1,A little sleepy.
369,2,nice to meet you
370,1,Nice
371,1,Industrious
372,2,I am a little fat
373,2,Happy girl
374,2,Liberator
375,1,Q^Q
376,1,I'm friendly
377,1,no girlfriend since 1993
378,1,Programmer with coffee
379,1,Just wake up
380,1,I am a man with power to breath!
381,1,Free
382,1,Alive
383,1,test
384,1,Live or die is a big question
385,1,Hi I am AI
386,1,Human being
387,1,I am a sunshine boy.
388,1,God Hand
389,1,I'm the boss.
390,2,"Be sponge, be brave."
391,1,I am a wise man
392,1,simple
393,1,a man
394,1,Do everything hard.
395,2,All is well!
396,2,I am honest to my friends.
397,2,Kindness
398,2,Kindness
399,1,handsome boy
400,2,I don't know.
401,2,Free
402,1,I'm a nerd.
403,1,Hmm
404,1,Cute guy with handsome face.
405,1,Positive
406,1,Ggggggggg
407,1,Hot and attractive
408,1,I am a boy
409,1,gorgeous
410,2,Born with an adventurous spirit
411,1,Incredible
412,1,Eternal return
413,2,foodie
414,1,I am Mike
415,2,Happy
416,2,Good
417,1,I am a infinity man
418,2,Awesome
419,1,I hope i am a super hero.
420,1,God damn dope
421,1,Sunny
422,2,Light
423,1,super 666666
